               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.030596,             0.18922,            0.013618,             0.57012,             0.48478,             0.49103,             0.29019,            0.033201,             0.33196,            0.019672,            0.001783,            0.001783,            0.001783
                  85,            0.030426,             0.18829,            0.013456,             0.57095,             0.48465,             0.49129,             0.29038,            0.033168,             0.33189,            0.019696,            0.001684,            0.001684,            0.001684
                  86,            0.030528,             0.18918,            0.013588,             0.57314,             0.48435,             0.49228,             0.29194,            0.033139,             0.33144,            0.019703,            0.001585,            0.001585,            0.001585
                  87,            0.030491,             0.18955,            0.013539,             0.57812,              0.4791,             0.49211,             0.29129,            0.033151,              0.3317,            0.019752,            0.001486,            0.001486,            0.001486
                  88,            0.030423,             0.18815,            0.013348,             0.57948,             0.48218,             0.49276,             0.29206,            0.033147,             0.33159,             0.01974,            0.001387,            0.001387,            0.001387
                  89,            0.030289,             0.18907,            0.013293,             0.58126,             0.47832,             0.49222,             0.29162,            0.033145,              0.3318,            0.019749,            0.001288,            0.001288,            0.001288
                  90,            0.030334,             0.18701,            0.013254,             0.58009,             0.47997,             0.49201,             0.29151,             0.03314,             0.33192,            0.019766,            0.001189,            0.001189,            0.001189
                  91,            0.030202,             0.18645,            0.013184,             0.58123,             0.48008,             0.49216,             0.29174,            0.033148,              0.3322,            0.019782,             0.00109,             0.00109,             0.00109
                  92,            0.030082,             0.18625,            0.013131,             0.57682,             0.48361,             0.49284,             0.29215,            0.033132,             0.33221,            0.019774,            0.000991,            0.000991,            0.000991
                  93,            0.030168,             0.18697,            0.013127,             0.57199,             0.48506,             0.49331,             0.29187,            0.033135,             0.33227,            0.019775,            0.000892,            0.000892,            0.000892
                  94,            0.030205,             0.18727,            0.013153,             0.57434,             0.48258,             0.49212,             0.29193,            0.033143,             0.33266,            0.019775,            0.000793,            0.000793,            0.000793
                  95,            0.030091,             0.18576,            0.013122,             0.57169,             0.48275,             0.49243,             0.29181,            0.033105,              0.3327,             0.01981,            0.000694,            0.000694,            0.000694
                  96,            0.030101,             0.18645,             0.01304,             0.57114,             0.48134,             0.49247,             0.29117,            0.033123,             0.33292,            0.019828,            0.000595,            0.000595,            0.000595
                  97,            0.030018,             0.18698,            0.012937,             0.57074,             0.48056,             0.49192,             0.29154,            0.033116,              0.3329,            0.019845,            0.000496,            0.000496,            0.000496
                  98,            0.030012,             0.18487,             0.01296,             0.56689,             0.48329,              0.4911,             0.29115,            0.033119,             0.33313,            0.019868,            0.000397,            0.000397,            0.000397
                  99,            0.029818,             0.18563,            0.012892,             0.56637,             0.48452,             0.49084,             0.29157,            0.033125,             0.33317,             0.01987,            0.000298,            0.000298,            0.000298
